part_id,Q1.2,Q1.3,Q2.1,Q2.2,Q2.3,Q2.4,Q3.1,Q3.2,Q4.1,Q4.2,Q4.3,Q4.4,Q5.1,Q5.2,Q5.3,Q5.4,Q6.1,Q6.2,Q7.1,Q7.2,Q7.3,Q8.1,Q8.2,Q8.3,Q9.1,Q9.2,Q10.1,Q10.2,Q10.3,Q12.1,Q12.2_1,Q12.3_1,Q12.4_1,Q12.5_1,Q12.6,Q12.7_1,Q12.8_1,Q12.9_1,Q12.10_1,Q13.1,Q13.2,Q13.3,Q13.4,Q13.5,Q13.6,Q13.7,Q13.8,Q13.9,Q14.1_1,Q14.2,Q14.2_TEXT,Q14.3_1,Q14.4,Q14.4_TEXT,Q14.5,Q14.5_TEXT,Q14.6,Q14.7,gender,race,ethnic,educ,daily_meds_n,age,t_duration_min,batch_id,sns1,sns2,sns3,sns4,sns5,sns6,sns7,sns8,sns_total,sns_ability,sns_preference,snumi1,snumi2,snumi3,snumi4,snumi5,snumi6,snumi7,snumi8,snumi_total,ind_sens_verb,ind_sens_gist,ind_spec_verb,ind_spec_gist,ind_conf_verb,ind_conf_gist,emb_sens,emb_spec,emb_conf,ind_sens_all,ind_spec_all,ind_conf_all,all_sens_mean,all_spec_mean,all_conf_mean,total_score_mean,ind_score_mean,emb_score_mean,snumi_cat,total_score_raw
R_24EwR1Wa1gBq0PT,1,1,1,1,3,2,3,3,1,1,2,2,1,1,2,2,3,3,1,1,1,1,1,2,3,3,1,1,3,1,5,5,5,4,1,4,5,4,5,1,6,5,6,4,5,6,5,12,26,1,,0,2,,2,,6,1,male,black/aa,non-hispanic,bachelors,0,26,22.38333333,2,5,5,5,4,4,5,3,5,4.5,4.75,4.25,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,0.5,0.5,0,0.666666667,0.333333333,0.333333333,0.333333333,0.333333333,average (4-6),3
R_sZr5lSwMaDPcQNP,1,1,1,1,1,1,3,3,1,1,2,1,1,1,2,1,3,3,1,1,2,1,1,2,3,3,1,1,1,1,2,5,6,6,1,5,6,1,6,1,6,4,7,4,4,6,5,13,34,1,,0,1,,2,,4,2,male,white,non-hispanic,ged/equiv,0,34,19.76666667,2,2,5,6,6,5,6,6,6,5.25,4.75,5.75,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1,1,average (4-6),9
R_2zAZB84UeavImJo,1,1,1,1,1,1,3,3,1,1,2,1,1,1,2,1,3,3,1,1,2,1,1,2,3,3,1,1,1,1,2,3,4,4,1,5,5,2,6,1,6,4,7,4,5,6,7,13,30,1,,0,4,,2,,6,1,male,asian,non-hispanic,bachelors,0,30,23.7,2,2,3,4,4,5,5,5,6,4.25,3.25,5.25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1,1,high (7-8),9
R_UPwp6eslhkgmsKJ,1,1,1,1,1,1,3,3,1,1,2,1,1,1,2,1,3,3,1,1,2,1,1,2,3,3,1,1,1,1,5,5,5,6,1,6,1,1,6,1,6,4,7,4,5,6,7,13,34,2,,0,2,,2,,6,1,female,black/aa,non-hispanic,bachelors,0,34,23.23333333,2,5,5,5,6,6,1,6,6,5,5.25,4.75,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1,1,high (7-8),9
R_21EAEp5JWV6RZE3,1,1,1,1,1,1,3,3,1,1,2,1,1,1,2,1,3,3,1,1,2,1,1,2,3,3,1,1,1,1,5,5,5,5,1,6,5,2,5,1,6,4,7,4,5,6,7,13,23,2,,3,1,,2,,6,1,female,white,non-hispanic,bachelors,3,23,12.66666667,2,5,5,5,5,6,5,5,5,5.125,5,5.25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1,1,high (7-8),9
R_1P5dUZBWeZru6aH,1,1,1,1,1,1,3,3,1,1,2,1,1,1,2,2,3,3,1,1,2,1,1,2,3,3,1,1,1,1,5,5,5,5,1,5,5,2,5,1,6,5,7,1,5,7,6,13,25,1,,2,4,,2,,6,1,male,asian,non-hispanic,bachelors,2,25,24.61666667,2,5,5,5,5,5,5,5,5,5,5,5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,0.5,1,1,0.666666667,0.888888889,0.833333333,1,average (4-6),8
R_2bJgIidziOBI4lL,1,1,1,1,1,1,3,3,1,1,2,1,1,1,2,2,3,3,1,1,2,1,1,2,3,3,1,1,1,1,5,6,6,6,1,6,5,2,6,1,6,4,7,4,5,6,4,13,31,1,,1,1,,2,,6,1,male,white,non-hispanic,bachelors,1,31,25.55,2,5,6,6,6,6,5,5,6,5.625,5.75,5.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,0.5,1,1,0.666666667,0.888888889,0.833333333,1,high (7-8),8
R_3VIaKZDfHtV2JLr,1,1,1,1,1,1,3,3,1,1,2,1,1,1,2,1,3,3,1,1,2,1,1,2,3,3,1,1,1,1,2,5,4,5,1,6,6,1,6,1,6,4,7,4,5,6,7,13,42,1,,6,1,,2,,3,1,male,white,non-hispanic,highschool,6,42,21.36666667,2,2,5,4,5,6,6,6,6,5,4,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1,1,high (7-8),9
R_1rjKbyAZLRYbOPK,1,1,1,1,1,1,3,3,1,1,2,1,1,1,2,1,3,3,1,1,2,1,1,2,3,3,1,1,1,1,4,4,4,4,1,5,5,1,5,1,6,4,7,4,5,6,6,13,44,1,,4,1,,2,,6,2,male,white,non-hispanic,bachelors,4,44,25.56666667,2,4,4,4,4,5,5,6,5,4.625,4,5.25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1,1,high (7-8),9
R_2BsMlFHpEgjsn3U,1,1,1,1,1,1,3,3,1,1,2,1,1,1,2,1,3,3,1,1,2,1,1,1,3,3,1,1,1,1,6,6,6,6,1,4,6,1,6,1,6,4,7,4,5,4,4,13,36,2,,0,6,,2,,5,2,female,mixed/other,non-hispanic,associates,0,36,23.78333333,2,6,6,6,6,4,6,6,6,5.75,6,5.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,1,1,1,0.666666667,1,0.888888889,1,0.666666667,average (4-6),8
